Date,AMZN,BAC,COST,DIS,DPZ,KO,MCD,MSFT,NAT,SBUX
1962-01-02,,,,0.05839846283197403,,0.04891312122344971,,,,
1962-01-03,,,,0.059182219207286835,,0.04782333970069885,,,,
1962-01-04,,,,0.059182219207286835,,0.04818671941757202,,,,
1962-01-05,,,,0.059378355741500854,,0.04709698632359505,,,,
1962-01-08,,,,0.059182219207286835,,0.0466126911342144,,,,
1962-01-09,,,,0.06035831198096275,,0.047460127621889114,,,,
1962-01-10,,,,0.06094604730606079,,0.04770229756832123,,,,
1962-01-11,,,,0.06270972639322281,,0.04818671941757202,,,,
1962-01-12,,,,0.06075052171945572,,0.04782333970069885,,,,
1962-01-15,,,,0.06075052171945572,,0.04733910784125328,,,,
1962-01-16,,,,0.059182219207286835,,0.04649163782596588,,,,
1962-01-17,,,,0.05722303315997124,,0.04503890499472618,,,,
1962-01-18,,,,0.05839846283197403,,0.04413079842925072,,,,
1962-01-19,,,,0.05957447364926338,,0.045523181557655334,,,,
1962-01-22,,,,0.06055441126227379,,0.04588635265827179,,,,
1962-01-23,,,,0.06035831198096275,,0.04491758719086647,,,,
1962-01-24,,,,0.05957447364926338,,0.04443338140845299,,,,
1962-01-25,,,,0.058790646493434906,,0.04407016932964325,,,,
1962-01-26,,,,0.05839846283197403,,0.04358593001961708,,,,
1962-01-29,,,,0.05839846283197403,,0.04358593001961708,,,,
1962-01-30,,,,0.058790646493434906,,0.043404243886470795,,,,
1962-01-31,,,,0.058790646493434906,,0.04515993967652321,,,,
1962-02-01,,,,0.05957447364926338,,0.045523181557655334,,,,
1962-02-02,,,,0.05957447364926338,,0.046007391065359116,,,,
1962-02-05,,,,0.05957447364926338,,0.046007391065359116,,,,
1962-02-06,,,,0.059182219207286835,,0.04540210962295532,,,,
1962-02-07,,,,0.05996665731072426,,0.04564420133829117,,,,
1962-02-08,,,,0.061534296721220016,,0.04576525837182999,,,,
1962-02-09,,,,0.061925921589136124,,0.046007391065359116,,,,
1962-02-12,,,,0.061925921589136124,,0.04564420133829117,,,,
1962-02-13,,,,0.061925921589136124,,0.04564420133829117,,,,
1962-02-14,,,,0.06114210933446884,,0.044796574860811234,,,,
1962-02-15,,,,0.061534296721220016,,0.044554468244314194,,,,
1962-02-16,,,,0.06270972639322281,,0.044554468244314194,,,,
1962-02-19,,,,0.06173048913478851,,0.04528101906180382,,,,
1962-02-20,,,,0.06231819838285446,,0.04503890499472618,,,,
1962-02-21,,,,0.061534296721220016,,0.044796574860811234,,,,
1962-02-23,,,,0.06114210933446884,,0.04431232437491417,,,,
1962-02-26,,,,0.05957447364926338,,0.04503890499472618,,,,
1962-02-27,,,,0.059182219207286835,,0.04528101906180382,,,,
1962-02-28,,,,0.05859457328915596,,0.04443338140845299,,,,
1962-03-01,,,,0.06016218289732933,,0.04419124126434326,,,,
1962-03-02,,,,0.0597706064581871,,0.044675469398498535,,,,
1962-03-05,,,,0.05996665731072426,,0.04407016932964325,,,,
1962-03-06,,,,0.059182219207286835,,0.04503890499472618,,,,
1962-03-07,,,,0.058790646493434906,,0.04443338140845299,,,,
1962-03-08,,,,0.0597706064581871,,0.044554468244314194,,,,
1962-03-09,,,,0.05957447364926338,,0.04407016932964325,,,,
1962-03-12,,,,0.06075052171945572,,0.04503890499472618,,,,
1962-03-13,,,,0.06188992038369179,,0.045757826417684555,,,,
1962-03-14,,,,0.06130003184080124,,0.04581887274980545,,,,
1962-03-15,,,,0.061693225055933,,0.04557514563202858,,,,
1962-03-16,,,,0.061693225055933,,0.04557514563202858,,,,
